DATA_INICIAL,TOTAL_PAGO,DATA_FINAL,COD_FAVORECIDO,NOME_FAVORECIDO
01/01/2021,"4.576.971,97",31/12/2021,12350153000148,PREF MUNI AGUA BRANCA
01/01/2021,"5.688.917,96",31/12/2021,12227351000119,PREF MUNI ANADIA
01/01/2021,"85.487.180,10",31/12/2021,12198693000158,PREF MUNI ARAPIRACA
01/01/2021,"14.645.192,78",31/12/2021,12200143000126,PREF MUNI ATALAIA
01/01/2021,"6.158.110,50",31/12/2021,12262713000102,PREF MUNI BARRA DE SANTO ANTONIO
01/01/2021,"4.148.581,75",31/12/2021,12263869000108,PREF MUNI BARRA DE SAO MIGUEL
01/01/2021,"6.818.662,88",31/12/2021,12250056000183,PREF MUNI BATALHA
01/01/2021,"3.149.453,28",31/12/2021,12227641000162,PREF MUNI BELEM
01/01/2021,"5.241.765,20",31/12/2021,12250163000101,PREF MUNI BELO MONTE
01/01/2021,"11.805.911,04",31/12/2021,12264396000163,PREF MUNI BOCA DA MATA
01/01/2021,"4.719.898,80",31/12/2021,12332995000177,PREF MUNI BRANQUINHA
01/01/2021,"5.297.408,53",31/12/2021,12227971000158,PREF MUNI CACIMBINHAS
01/01/2021,"5.285.517,89",31/12/2021,12333738000150,PREF MUNI CAJUEIRO
01/01/2021,"2.880.666,38",31/12/2021,01631604000107,PREF MUNI CAMPESTRE
01/01/2021,"21.301.913,76",31/12/2021,12264628000183,PREF MUNI CAMPO ALEGRE
01/01/2021,"5.704.541,74",31/12/2021,12198701000166,PREF MUNI CAMPO GRANDE
01/01/2021,"7.723.687,07",31/12/2021,12367892000142,PREF MUNI CANAPI
01/01/2021,"6.005.409,26",31/12/2021,12333753000106,PREF MUNI CAPELA
01/01/2021,"2.931.695,10",31/12/2021,12250684000169,PREF MUNI CARNEIROS
01/01/2021,"4.575.224,06",31/12/2021,12334629000157,PREF MUNI CHA PRETA
01/01/2021,"3.690.514,83",31/12/2021,12198719000168,PREF MUNI COITE DO NOIA
01/01/2021,"8.408.662,88",31/12/2021,12332987000120,PREF MUNI COLONIA LEOPOLDINA
01/01/2021,"3.398.424,05",31/12/2021,12200325000105,PREF MUNI COQUEIRO SECO
01/01/2021,"43.855.042,51",31/12/2021,12264230000147,PREF MUNI CORURIPE
01/01/2021,"6.735.271,42",31/12/2021,08439549000199,PREF MUNI CRAIBAS
01/01/2021,"17.980.826,02",31/12/2021,12224895000127,PREF MUNI DELMIRO GOUVEIA
01/01/2021,"7.851.442,22",31/12/2021,12250908000132,PREF MUNI DOIS RIACHOS
01/01/2021,"4.571.811,52",31/12/2021,24176307000106,PREF MUNI ESTRELA DE ALAGOAS
01/01/2021,"5.070.569,33",31/12/2021,12207528000115,PREF MUNI FEIRA GRANDE
01/01/2021,"8.223.966,74",31/12/2021,12242020000158,PREF MUNI FELIZ DESERTO
01/01/2021,"9.576.040,16",31/12/2021,12262721000159,PREF MUNI FLEXEIRAS
01/01/2021,"13.218.419,70",31/12/2021,12207536000161,PREF MUNI GIRAU DO PONCIANO
01/01/2021,"5.629.908,56",31/12/2021,12332961000182,PREF MUNI IBATEGUARA
01/01/2021,"5.718.168,47",31/12/2021,12228375000192,PREF MUNI IGACI
01/01/2021,"11.769.948,67",31/12/2021,12242350000143,PREF MUNI IGREJA NOVA
01/01/2021,"6.097.417,50",31/12/2021,12226197000160,PREF MUNI INHAPI
01/01/2021,"4.077.794,66",31/12/2021,12250999000106,PREF MUNI JACARE DOS HOMENS
01/01/2021,"5.156.063,36",31/12/2021,12247755000174,PREF MUNI JACUIPE
01/01/2021,"4.437.753,93",31/12/2021,12247946000136,PREF MUNI JAPARATINGA
01/01/2021,"3.516.078,59",31/12/2021,12207544000108,PREF MUNI JARAMATAIA
01/01/2021,"21.112.781,12",31/12/2021,02917132000108,PREF MUNI JEQUIA DA PRAIA
01/01/2021,"5.246.707,39",31/12/2021,12262739000150,PREF MUNI JOAQUIM GOMES
01/01/2021,"4.251.480,25",31/12/2021,12248100000110,PREF MUNI JUNDIA
01/01/2021,"8.889.696,37",31/12/2021,12265468000197,PREF MUNI JUNQUEIRO
01/01/2021,"4.454.145,42",31/12/2021,12207551000100,PREF MUNI LAGOA DA CANOA
01/01/2021,"10.002.442,00",31/12/2021,12207403000195,PREF MUNI LIMOEIRO DE ANADIA
01/01/2021,"445.323.254,89",31/12/2021,12200135000180,PREF MUNI MACEIO
01/01/2021,"7.985.944,77",31/12/2021,12228904000158,PREF MUNI MAJOR IZIDORO
01/01/2021,"2.876.758,40",31/12/2021,12333761000144,PREF MUNI MAR VERMELHO
01/01/2021,"15.928.134,70",31/12/2021,12248522000196,PREF MUNI MARAGOGI
01/01/2021,"3.956.870,49",31/12/2021,12251286000167,PREF MUNI MARAVILHA
01/01/2021,"68.853.164,15",31/12/2021,12200275000158,PREF MUNI MARECHAL DEODORO
01/01/2021,"4.798.359,97",31/12/2021,12236873000187,PREF MUNI MARIBONDO
01/01/2021,"6.691.782,84",31/12/2021,12226205000179,PREF MUNI MATA GRANDE
01/01/2021,"7.999.182,68",31/12/2021,12342663000173,PREF MUNI MATRIZ DE CAMARAGIBE
01/01/2021,"8.891.506,32",31/12/2021,12200283000102,PREF MUNI MESSIAS
01/01/2021,"4.087.115,95",31/12/2021,12237038000161,PREF MUNI MINADOR DO NEGRAO
01/01/2021,"3.126.212,04",31/12/2021,12251450000136,PREF MUNI MONTEIROPOLIS
01/01/2021,"15.523.414,30",31/12/2021,12332953000136,PREF MUNI MURICI
01/01/2021,"4.293.206,27",31/12/2021,12248878000120,PREF MUNI NOVO LINO
01/01/2021,"5.839.357,01",31/12/2021,12251468000138,PREF MUNI OLHO D AGUA DAS FLORES
01/01/2021,"3.561.421,33",31/12/2021,12350146000146,PREF MUNI OLHO D AGUA DO CASADO
01/01/2021,"3.046.193,20",31/12/2021,12207411000131,PREF MUNI OLHO DAGUA GRANDE
01/01/2021,"3.987.604,18",31/12/2021,12257762000157,PREF MUNI OLIVENCA
01/01/2021,"3.658.074,62",31/12/2021,12258141000198,PREF MUNI OURO BRANCO
01/01/2021,"2.394.543,32",31/12/2021,12369872000100,PREF MUNI PALESTINA
01/01/2021,"20.707.359,55",31/12/2021,12356879000198,PREF MUNI PALMEIRA DOS INDIOS
01/01/2021,"7.570.308,65",31/12/2021,12369880000157,PREF MUNI PAO DE ACUCAR
01/01/2021,"4.166.058,50",31/12/2021,35634435000172,PREF MUNI PARICONHA
01/01/2021,"6.483.479,88",31/12/2021,35561471000153,PREF MUNI PARIPUEIRA
01/01/2021,"9.868.778,63",31/12/2021,12342655000127,PREF MUNI PASSO DE CAMARAGIBE
01/01/2021,"3.531.076,66",31/12/2021,12335030000138,PREF MUNI PAULO JACINTO
01/01/2021,"26.471.826,60",31/12/2021,12243697000100,PREF MUNI PENEDO
01/01/2021,"7.887.821,98",31/12/2021,12247268000101,PREF MUNI PIACABUCU
01/01/2021,"106.872.765,45",31/12/2021,12200150000128,PREF MUNI PILAR
01/01/2021,"2.908.474,47",31/12/2021,12335436000110,PREF MUNI PINDOBA
01/01/2021,"21.459.378,03",31/12/2021,12225546000120,PREF MUNI PIRANHAS
01/01/2021,"5.294.474,60",31/12/2021,12259040000131,PREF MUNI POCO DAS TRINCHEIRAS
01/01/2021,"8.700.545,41",31/12/2021,12366720000154,PREF MUNI PORTO CALVO
01/01/2021,"7.761.992,40",31/12/2021,08629446000191,PREF MUNI PORTO DE PEDRAS
01/01/2021,"4.844.113,72",31/12/2021,12207429000133,PREF MUNI PORTO REAL DO COLEGIO
01/01/2021,"12.137.405,82",31/12/2021,12241675000101,PREF MUNI QUEBRANGULO
01/01/2021,"42.577.149,60",31/12/2021,12200168000120,PREF MUNI RIO LARGO
01/01/2021,"4.655.316,97",31/12/2021,12264248000149,PREF MUNI ROTEIRO
01/01/2021,"4.646.810,11",31/12/2021,12200317000150,PREF MUNI SANTA LUZIA DO NORTE
01/01/2021,"12.789.713,64",31/12/2021,12250916000189,PREF MUNI SANTANA DO IPANEMA
01/01/2021,"7.831.774,42",31/12/2021,12332979000184,PREF MUNI SANTANA DO MUNDAU
01/01/2021,"5.716.420,13",31/12/2021,12207437000180,PREF MUNI SAO BRAZ
01/01/2021,"7.479.356,61",31/12/2021,12330916000199,PREF MUNI SAO JOSE DA LAGE
01/01/2021,"8.599.434,84",31/12/2021,12261228000114,PREF MUNI SAO JOSE DA TAPERA
01/01/2021,"13.653.000,94",31/12/2021,12342671000110,PREF MUNI SAO LUIZ DO QUITUNDE
01/01/2021,"35.767.895,22",31/12/2021,12264222000109,PREF MUNI SAO MIGUEL DOS CAMPOS
01/01/2021,"3.349.051,97",31/12/2021,12364881000109,PREF MUNI SAO MIGUEL DOS MILAGRES
01/01/2021,"9.599.689,16",31/12/2021,12247631000199,PREF MUNI SAO SEBASTIAO
01/01/2021,"4.922.014,92",31/12/2021,12200333000143,PREF MUNI SATUBA
01/01/2021,"4.391.272,74",31/12/2021,12421137000107,PREF MUNI SENADOR RUI PALMEIRA
01/01/2021,"3.650.446,22",31/12/2021,12241865000129,PREF MUNI TANQUE DARCA
01/01/2021,"5.706.215,75",31/12/2021,12207445000126,PREF MUNI TAQUARANA
01/01/2021,"17.118.884,55",31/12/2021,12842829000110,PREF MUNI TEOTONIO VILELA
01/01/2021,"10.750.118,62",31/12/2021,12207452000128,PREF MUNI TRAIPU
01/01/2021,"19.743.813,13",31/12/2021,12332946000134,PREF MUNI UNIAO DOS PALMARES
01/01/2021,"9.085.209,97",31/12/2021,12333746000104,PREF MUNI VICOSA